Market,Demand,Price
M001,561.0,63.88000000000001
M002,387.0,56.28
M003,660.0,64.5
M004,348.0,44.35
M005,402.0,42.8
M006,381.0,54.410000000000004
M007,424.0,76.42
M008,233.0,65.4
M009,658.0,47.65
M010,490.0,54.17
M011,158.0,79.01
M012,163.0,74.59
M013,659.0,59.82
M014,263.0,66.3
M015,347.0,71.94
M016,226.0,50.37
M017,670.0,63.79999999999999
M018,493.0,48.53999999999999
M019,652.0,77.4
M020,418.0,61.21
M021,636.0,76.6
M022,424.0,75.11
M023,181.0,39.04
M024,282.0,52.73
M025,150.0,49.52
M026,324.0,53.75
M027,348.0,51.7
M028,429.0,40.6
M029,476.0,64.18
M030,514.0,60.57000000000001
M031,377.0,61.580000000000005
M032,458.0,48.03000000000001
M033,255.0,46.29
M034,633.0,39.38
M035,653.0,76.42
M036,293.0,62.61999999999999
M037,244.0,69.56
M038,183.0,61.35
M039,568.0,52.18
M040,503.0,75.84
M041,300.0,74.29
M042,427.0,68.4
M043,395.0,73.89
M044,331.0,76.47
M045,489.0,69.0
M046,717.0,72.08
M047,472.0,73.28
M048,587.0,47.01
M049,483.0,73.53
M050,506.0,79.49
M051,378.0,59.97
M052,185.0,59.48
M053,409.0,52.1
M054,245.0,58.19
M055,186.0,67.51
M056,664.0,67.9
M057,244.0,69.12
M058,597.0,49.37
M059,306.0,55.78
M060,483.0,57.97
M061,538.0,38.2
M062,627.0,57.07
M063,311.0,44.55
M064,531.0,48.0
M065,480.0,55.17
M066,248.0,66.36
M067,500.0,42.53
M068,167.0,41.52
M069,556.0,75.67
M070,229.0,58.81
M071,247.0,56.68
M072,484.0,59.01
M073,585.0,59.13000000000001
M074,372.0,62.04
M075,247.0,42.05
M076,524.0,42.72
M077,354.0,59.77000000000001
M078,238.0,60.0
M079,523.0,45.15
M080,352.0,51.38
M081,589.0,63.93
M082,573.0,77.54
M083,280.0,68.76
M084,670.0,49.24
M085,351.0,65.36
M086,559.0,45.13
M087,230.0,51.25
M088,246.0,61.86
M089,408.0,44.54999999999999
M090,297.0,57.07
M091,340.0,78.69
M092,258.0,62.040000000000006
M093,460.0,44.73
M094,337.0,52.63
M095,252.0,68.59
M096,593.0,65.41
M097,518.0,66.05
M098,664.0,76.96
M099,600.0,57.73
M100,316.0,77.09
